Applicant Name,Email,Phone,Domain Applied,University,Application Date,Status
Michael Powell,MARYCALHOUN@EXAMPLE.NET,0334-7477326,appdev,Sukkur IBA University,27/01/2026,SELECTED
Kimberly Adkins  ,,0344-4305700,WEB DEV,SIBA,11/09/2025,Selected
Angela Lopez,leonardjoe@example.org,0322-8053918,GRAPHIC DESIGN,FAST NUCES,2026-06-25,REJECTED
Lori Garcia,MELISSA91@EXAMPLE.NET,0313-9333700,Data Science,SIBA,2026-04-28,selected
Robert Potter,jeffrey32@example.org,0323 4540415,Web Development,Karachi University,01/08/2025,under review
Javier Johnson,jesseguzman@example.net,0327-1109031,appdev,Comsats,26/09/2025,SELECTED
  Spencer Johnston  ,wsmith@example.com,0318 2171218,Graphic Design,,unknown,Selected
Leslie Alvarado,dayderek@example.com,0319-7878299,app dev,,2025-09-20,rejected
Kimberly Robinson,lisa02@example.net,0312-8707870,graphic design,,17/12/2025,SELECTED
  Alex Hernandez  ,thomaswilson@example.org,0320 3937176,GRAPHIC DESIGN,Sukkur IBA,02/01/2026,UNDER REVIEW
Rhonda Lee,hopkinsmichael@example.com,0312-1059486,APP DEV,FAST NUCES,2026-01-02,rejected
Dr. Steven Martin,GALLOWAYJOSEPH@EXAMPLE.COM,0331-5674183,DATA SCIENCE,Sukkur IBA,2025-10-28,REJECTED
Jonathan White,harrellkenneth@example.net,0325-2264748,digital marketing,Sukkur IBA University,2026-01-17,under review
  Andrew Diaz  ,,0312-1520596,app dev,SIBA,17/03/2026,Under Review
Martin Ross,sheila14@example.org,0341-4558780,DATA SCIENCE,LUMS,2026-02-13,Selected
Benjamin Welch,carlosjohnson@example.com,0344-6075395,digital marketing,Sukkur IBA,2025-08-10,Under Review
  Tony Vazquez  ,AMYDAVENPORT@EXAMPLE.NET,0323-8628588,Graphic Design,UET Lahore,03/02/2026,under review
Charles Brown,,0323-6056977,APP DEV,LUMS,unknown,rejected
David Hoffman,julie69@example.com,0318-8973915,APP DEV,,2025-11-25,selected
Sierra Johnson,kimberly63@example.com,0316-6059717,digital marketing,SIBA,2025-09-12,rejected
Allen Rosales,tonykelly@example.com,0317 3345069,WEB DEV,,17/11/2025,REJECTED
Joseph Martinez,calebsmith@example.net,0310-8688755,digital marketing,NED University,2025-10-08,UNDER REVIEW
  Michael Lewis  ,JENNIFERKHAN@EXAMPLE.NET,0327-5727085,Data Science,Sukkur IBA,2026-01-04,Rejected
,donaldgarcia@example.net,0316-2458591,web dev,NED University,07/06/2026,under review
Kimberly Webb,lpetersen@example.com,0324-7667458,Digital Marketing,NED University,unknown,REJECTED
Jill Moore,WCOLE@EXAMPLE.ORG,0336 9312590,GRAPHIC DESIGN,Sukkur IBA University,19/05/2026,SELECTED
,daviscolin@example.com,0315-4905582,Graphic Design,,2026-02-21,SELECTED
Jerry Henderson,STEVEN17@EXAMPLE.NET,0336-3592974,App Development,FAST NUCES,unknown,SELECTED
